timestamp,phase,level,experiment,seed,demos,iters,batch_size,episodes,sort_accuracy,mis_sort_count,steps_to_complete,checkpoint,notes
2026-07-15T21:55:37+08:00,baseline,easy,dp_easy_baseline_s1,1,200,30000,256,50,0.170,,,il/baselines/diffusion_policy/runs/dp_easy_baseline_s1/checkpoints/best_eval_sort_accuracy.pt,"mean_sorted=0.34/2; all_placed_rate=0.000; mis_sort_rate=0.000"
2026-07-15T21:55:37+08:00,baseline,medium,dp_medium_baseline_s1,1,200,50000,256,50,0.110,,,il/baselines/diffusion_policy/runs/dp_medium_baseline_s1/checkpoints/best_eval_sort_accuracy.pt,"mean_sorted=0.44/4; all_placed_rate=0.000; mis_sort_rate=0.000"
2026-07-15T21:55:37+08:00,baseline,hard,dp_hard_baseline_s1,1,200,60000,256,50,0.037,,,il/baselines/diffusion_policy/runs/dp_hard_baseline_s1/checkpoints/best_eval_sort_accuracy.pt,"mean_sorted=0.22/6; all_placed_rate=0.000; mis_sort_rate=0.013"
2026-07-15T23:24:29+08:00,long,easy,dp_easy_long_s1,1,200,50000,256,50,0.170,,,il/baselines/diffusion_policy/runs/dp_easy_long_s1/checkpoints/best_eval_sort_accuracy.pt,"mean_sorted=0.34/2; all_placed_rate=0.060; mis_sort_rate=0.000; tied baseline, baseline retained"
2026-07-16T01:31:32+08:00,long,medium,dp_medium_long_s1,1,200,75000,256,50,0.080,,,il/baselines/diffusion_policy/runs/dp_medium_long_s1/checkpoints/best_eval_sort_accuracy.pt,"mean_sorted=0.32/4; all_placed_rate=0.000; mis_sort_rate=0.000; below baseline, baseline retained"
2026-07-16T05:00:51+08:00,long,hard,dp_hard_long_s1,1,200,100000,256,50,0.040,,,il/baselines/diffusion_policy/runs/dp_hard_long_s1/checkpoints/best_eval_sort_accuracy.pt,"mean_sorted=0.24/6; all_placed_rate=0.000; mis_sort_rate=0.003; above baseline 0.037, long retained"
2026-07-16T14:35:46+08:00,augmented,medium,dp_medium_aug_s1,1,400,75000,256,50,0.055,,,il/baselines/diffusion_policy/runs/dp_medium_aug_s1/checkpoints/best_eval_sort_accuracy.pt,"mean_sorted=0.22/4; all_placed_rate=0.000; mis_sort_rate=0.005; below baseline 0.110, baseline retained"
2026-07-16T15:17:00+08:00,augmented,hard,dp_hard_aug_s1,1,600,100000,256,50,0.053,,,il/baselines/diffusion_policy/runs/dp_hard_aug_s1/checkpoints/best_eval_sort_accuracy.pt,"mean_sorted=0.32/6; all_placed_rate=0.000; mis_sort_rate=0.000; above long 0.040 and baseline 0.037, augmented retained"
2026-07-17T10:57:14+08:00,batch512,medium,dp_medium_long_b512_s1,1,200,75000,512,50,0.050,,,il/baselines/diffusion_policy/runs/dp_medium_long_b512_s1/checkpoints/best_eval_sort_accuracy.pt,"mean_sorted=0.20; all_placed_rate=0.000; mis_sort_rate=0.005"
2026-07-17T14:24:31+08:00,batch512,hard,dp_hard_aug_b512_s1,1,600,100000,512,50,0.087,,,il/baselines/diffusion_policy/runs/dp_hard_aug_b512_s1/checkpoints/best_eval_sort_accuracy.pt,"mean_sorted=0.52; all_placed_rate=0.000; mis_sort_rate=0.007"
2026-07-17T15:40:42+08:00,final_dp,easy,dp_easy_baseline_s2,2,200,30000,256,50,0.250,,,il/baselines/diffusion_policy/runs/dp_easy_baseline_s2/checkpoints/best_eval_sort_accuracy.pt,"mean_sorted=0.50; all_placed_rate=0.000; mis_sort_rate=0.000"
2026-07-17T16:21:50+08:00,final_dp,easy,dp_easy_baseline_s3,3,200,30000,256,50,0.300,,,il/baselines/diffusion_policy/runs/dp_easy_baseline_s3/checkpoints/best_eval_sort_accuracy.pt,"mean_sorted=0.60; all_placed_rate=0.000; mis_sort_rate=0.000"
2026-07-17T17:48:52+08:00,final_dp,medium,dp_medium_baseline_s2,2,200,50000,256,50,0.030,,,il/baselines/diffusion_policy/runs/dp_medium_baseline_s2/checkpoints/best_eval_sort_accuracy.pt,"mean_sorted=0.12; all_placed_rate=0.000; mis_sort_rate=0.000"
2026-07-17T19:17:48+08:00,final_dp,medium,dp_medium_baseline_s3,3,200,50000,256,50,0.040,,,il/baselines/diffusion_policy/runs/dp_medium_baseline_s3/checkpoints/best_eval_sort_accuracy.pt,"mean_sorted=0.16; all_placed_rate=0.000; mis_sort_rate=0.000"
2026-07-17T22:54:09+08:00,final_dp,hard,dp_hard_aug_b512_s2,2,600,100000,512,50,0.073,,,il/baselines/diffusion_policy/runs/dp_hard_aug_b512_s2/checkpoints/best_eval_sort_accuracy.pt,"mean_sorted=0.44; all_placed_rate=0.000; mis_sort_rate=0.010"
2026-07-18T02:38:51+08:00,final_dp,hard,dp_hard_aug_b512_s3,3,600,100000,512,50,0.107,,,il/baselines/diffusion_policy/runs/dp_hard_aug_b512_s3/checkpoints/best_eval_sort_accuracy.pt,"mean_sorted=0.64; all_placed_rate=0.000; mis_sort_rate=0.003"
2026-07-18T17:34:00+08:00,final_dp_deterministic,easy,state_easy_best,0,200,30000,256,50,0.390,,,experiments/checkpoints/state_easy_best.pt,"50 inference steps; torch/cuda RNG seed 0; repeat matched"
2026-07-18T17:34:00+08:00,final_dp_deterministic,medium,state_medium_best,0,200,50000,256,50,0.090,,,experiments/checkpoints/state_medium_best.pt,"50 inference steps; torch/cuda RNG seed 0"
2026-07-18T17:34:00+08:00,final_dp_deterministic,hard,state_hard_best,0,600,100000,512,50,0.103,,,experiments/checkpoints/state_hard_best.pt,"50 inference steps; torch/cuda RNG seed 0"
